med_name,med_manufacturer,components,comp
FAR 20MG TABLET ,BURGEON PHARMA ,Rabeprazole 20 MG,
FAST 20MG TABLET ,APPLE LIFESCIENCE ,Rabeprazole 20 MG,
FAVORAB 20MG TABLET ,FAVEO PHARMA ,Rabeprazole 20 MG,
BELLO 20MG TABLET ,SEDULUS REMEDIES ,Rabeprazole 20 MG,
BIOWCID 20MG TABLET ,AXENIC HEALTH ,Rabeprazole 20 MG,
BIPRA 20MG TABLET ,SINSAN ,Rabeprazole 20 MG,
BK RAB 20MG TABLET ,BIOKIND HEALTHCARE ,Rabeprazole 20 MG,
BLOCID 20MG TABLET ,FOSSIL REMEDIES ,Rabeprazole 20 MG,
BLOWCID 20MG TABLET ,AXENIC HEALTH ,Rabeprazole 20 MG,
BRAVIA 20MG TABLET ,GRANDCURE HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
BROZOLE 20MG TABLET ,BL PHARMA ,Rabeprazole 20 MG,
BURIT 20MG TABLET ,BUTSON ,Rabeprazole 20 MG,
AARZOLE 20MG TABLET ,AAROHI PHARMA ,Rabeprazole 20 MG,
ABETROL 20MG TABLET ,ABETTOR LIFESCIENCES ,Rabeprazole 20 MG,
ABEX 20MG TABLET ,UNIKIND ,Rabeprazole 20 MG,
 ABOVE 5 TABLET ,PFIZER LIMITED ,Rabeprazole 20 MG,
ACERA CAPSULE ,IPCA LABORATORIES LTD ,Rabeprazole 20 MG,
ACERA FAST 20MG TABLET ,IPCA LABORATORIES LTD ,Rabeprazole 20 MG,
ACERA 20MG TABLET ,IPCA LABORATORIES LTD ,Rabeprazole 20 MG,
ACIDUZ 20MG TABLET ,LIFA HEALTHCARE ,Rabeprazole 20 MG,
ACILESS 20MG TABLET ,SH PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
ACIPHOL 20MG TABLET ,AICOM BIOMEDICS ,Rabeprazole 20 MG,
ACIRAZ 20MG TABLET ,TABLETS INDIA ,Rabeprazole 20 MG,
ACIREST 20MG CAPSULE ,SURGE BIOTECH ,Rabeprazole 20 MG,
ACTKUL 20MG TABLET ,A MENARINI INDIA PVT LTD ,Rabeprazole 20 MG,
ACTORAB 20MG TABLET ,FITWEL PHARMA ,Rabeprazole 20 MG,
ALBARAB 20MG TABLET ,ALBA HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
ALGIBRA 20MG TABLET ,ADCOCK INGRAM HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
ALTORAB 20MG TABLET ,ALTOCARE LIFE SCIENCES PVT LTD ,Rabeprazole 20 MG,
ALVIRAB 20MG TABLET ,ALVID BIOCARE ,Rabeprazole 20 MG,
ANSUPER TABLET ,AN PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
API 20MG TABLET ,VANGUARD THERAPEUTICS PVT LTD ,Rabeprazole 20 MG,
ARAZOLE 20MG TABLET ,ALPIC REMEDIES ,Rabeprazole 20 MG,
ARKORAB 20MG TABLET ,ARKS CHEM INDIA PVT LTD ,Rabeprazole 20 MG,
ARZ 20MG TABLET ,ALKA PHARMACEUTICALS ,Rabeprazole 20 MG,
 ASALT 20MG TABLET ,MARS INDIA ,Rabeprazole 20 MG,
ASCEND 20MG TABLET ,INDIAN DRUGS ,Rabeprazole 20 MG,
ANTUC 20MG TABLET ,NEISS LABS LTD ,Rabeprazole 20 MG,
ARORAB 20MG TABLET ,AAREEN HEALTHCARE ,Rabeprazole 20 MG,
ASIDROP 20MG TABLET ,INDIAN DRUGS ,Rabeprazole 20 MG,
B-JOY 20MG TABLET ,CONCERTINA PHARMA ,Rabeprazole 20 MG,
CARNIPRO CAPSULE ,J B CHEMICALS ,Rabeprazole 20 MG,
CATRAB TABLET ,WINSOME LABORATORY LTD ,Rabeprazole 20 MG,
CEASEBURN 20MG TABLET ,MAGPIE LABS PVT LTD ,Rabeprazole 20 MG,
CELERAB 20MG TABLET ,CELERA PHARMA ,Rabeprazole 20 MG,
CHILKUL 20MG TABLET ,APTUS PHARMA ,Rabeprazole 20 MG,
CID O RAB TABLET ,SIGNATURE PHYTOCHEMICALS ,Rabeprazole 20 MG,
CINRAB TABLET ,CINEREA BIOTECH ,Rabeprazole 20 MG,
CLOVRAB 20MG TABLET ,CLOVER LIFE SCIENCES ,Rabeprazole 20 MG,
COCID 20MG TABLET ,TALENT HEALTHCARE ,Rabeprazole 20 MG,
GOSSIP 20MG TABLET ,RED MED MEDICAL SERVICES ,Rabeprazole 20 MG,
GRAB 20MG TABLET ,KANAD ,Rabeprazole 20 MG,
HAAI 20MG TABLET ,WELCARE PHARMA ,Rabeprazole 20 MG,
HAPPI 20MG TABLET ,GERMAN REMEDIES ,Rabeprazole 20 MG,
HEOL 20MG TABLET ,ARKAS PHARMA P LTD ,Rabeprazole 20 MG,
HERMIRAB 20MG TABLET ,HERMITUS HEALTH CARE ,Rabeprazole 20 MG,
HINRAB 20MG TABLET ,PERK PHARMA ,Rabeprazole 20 MG,
HIRAB 20MG TABLET ,FERVENT LIFE SCIENCES ,Rabeprazole 20 MG,
HOPERAB 20MG TABLET ,PROQOL HEALTHCARE ,Rabeprazole 20 MG,
HSRAB 20MG TABLET ,JIOMED HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
HULEZ 20MG TABLET ,DR JOHNS LABS ,Rabeprazole 20 MG,
HYGRAB 20MG TABLET ,HYGEN HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
HYHEAL 20MG TABLET ,GROUP PHAMRACEUTICALS LTD ,Rabeprazole 20 MG,
IFIRAB 20MG TABLET ,IFIMED PHARMA ,Rabeprazole 20 MG,
INSTIGO 20MG TABLET ,MEBIO LABS PVT LTD ,Rabeprazole 20 MG,
IRAB 20MG TABLET ,INDO GERMAN HEALTH CARE ,Rabeprazole 20 MG,
ISORAB 20MG TABLET ,SURAKSHA PHARMA ,Rabeprazole 20 MG,
IZCID 20MG TABLET ,FORMAN MEDICS PVT LTD ,Rabeprazole 20 MG,
KEPREB 20MG TABLET ,KEPLER HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
KOOL TABLET ,ALEMBIC PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
KOOL 20MG TABLET ,GENIP PHARMA ,Rabeprazole 20 MG,
KYLID 20MG TABLET ,ROUCHER BIOSCIENCES PVT LTD ,Rabeprazole 20 MG,
LAFUMAC PLUS TABLET ,MACLEODS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
LEERAB 20MG TABLET ,NEXOCARE BIOTECH PVT LTD ,Rabeprazole 20 MG,
LEVIRAB 20MG TABLET ,LEVIN HEALTHCARE ,Rabeprazole 20 MG,
 LIRAB 20MG TABLET ,LISSA HEALTHCARE ,Rabeprazole 20 MG,
LOCKER 20MG TABLET ,LEOLIFE ,Rabeprazole 20 MG,
LOZIRAB 20MG TABLET ,CANIXA LIFE SCIENCES ,Rabeprazole 20 MG,
LSRAB 20MG CAPSULE ,EMBIOTIC LABORATORIES ,Rabeprazole 20 MG,
LYRAB 20MG TABLET ,LYKA LABS LTD ,Rabeprazole 20 MG,
L RABI 20MG TABLET ,LLOYD HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
JETRAB 20MG TABLET ,PLENUM BIOTECH PVT LTD ,Rabeprazole 20 MG,
JIBRA 20MG TABLET ,JIBOK PHARMA ,Rabeprazole 20 MG,
HELIRAB 20MG TABLET ,MICRO LABS LIMITED ,Rabeprazole 20 MG,
LORAB 20MG TABLET ,LIFECARE ,Rabeprazole 20 MG,
M RAB 20MG TABLET ,MEDIWILL LIFE SCIENCES ,Rabeprazole 20 MG,
NILFLUX 200MG TABLET ,KLARSEHEN ,Rabeprazole 20 MG,
NULOC 20MG TABLET ,ALKEM LABORATORIES LTD ,Rabeprazole 20 MG,
ODIRAB 20MG TABLET ,BIOCHEM ,Rabeprazole 20 MG,
ODIRAB FAST 20MG TABLET ,BIOCHEM ,Rabeprazole 20 MG,
MAC 20MG TABLET ,CORONA REMEDIES PVT LTD ,Rabeprazole 20 MG,
MAKRAB 20MG TABLET ,MAKSUN BIOTECH ,Rabeprazole 20 MG,
MASTERAB 20MG CAPSULE ,ADALBERT HEALTH CARE PVT LTD ,Rabeprazole 20 MG,
MEGARAB 20MG TABLET ,SCOTT EDIL ,Rabeprazole 20 MG,
MEPRAZ 20MG TABLET ,GLOBUS REMEDIES LTD ,Rabeprazole 20 MG,
 MIGLIRAB 20MG TABLET ,MIGLIORE LIFE SCIENCES ,Rabeprazole 20 MG,
MINIRAB 20MG TABLET ,FOREGEN HEALTHCARE ,Rabeprazole 20 MG,
MOVARAB 20MG TABLET ,MOVA PHARMACEUTICALS ,Rabeprazole 20 MG,
MYOZ 20MG TABLET ,MYOPICS PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
OPROL 20MG CAPSULE ,COLINZ LAB LTD ,Rabeprazole 20 MG,
ORG 20MG TABLET ,ORGANIC LAB ,Rabeprazole 20 MG,
ORPRO TABLET ,ORDAIN HEALTHCARE ,Rabeprazole 20 MG,
OSTEOCID 20MG CAPSULE ,WAN BURRY ,Rabeprazole 20 MG,
O RABB 20MG TABLET ,OSTRICH PHARMACEUTICALS ,Rabeprazole 20 MG,
PARIT 20MG TABLET ,GLAXO ,Rabeprazole 20 MG,
PENRAB 20MG TABLET ,GH VISION CARE LIFESCIENCES ,Rabeprazole 20 MG,
PEPCIA 20MG TABLET ,FDC LIMITED ,Rabeprazole 20 MG,
PEPGERD 20MG TABLET ,BONSAI PHARMA ,Rabeprazole 20 MG,
PEPRAZ 20MG TABLET ,EAST WEST PHARMA ,Rabeprazole 20 MG,
PEPRAB 20MG TABLET ,SAN BIOMEDICS ,Rabeprazole 20 MG,
PEPTARD 20MG TABLET ,INDCHEMIE HEALTH SPECIALITIES ,Rabeprazole 20 MG,
PEPTARD GEL ,INDCHEMIE HEALTH SPECIALITIES ,Rabeprazole 20 MG,
PEPZERA 20MG TABLET ,PULSE PHARMA ,Rabeprazole 20 MG,
PILTOP 20MG CAPSULE ,PSYCHOTROPICS INDIA LTD ,Rabeprazole 20 MG,
PPBEST 20MG TABLET ,VIDAKEM LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
 PPR 20MG TABLET ,BIG LABS ,Rabeprazole 20 MG,
PPSHINE 20MG TABLET ,ARKSHINE PHARMA ,Rabeprazole 20 MG,
PRAZORAB 20MG TABLET ,CADOMED ,Rabeprazole 20 MG,
PRAZOHEXT TABLET ,SANOFI INDIA LIMITED ,Rabeprazole 20 MG,
PREREB 20MG TABLET ,SUNFLOWER PHARMA ,Rabeprazole 20 MG,
PRIRAB 20MG TABLET ,PRIMUS REMEDIES PVT LTD ,Rabeprazole 20 MG,
PRORAB 20MG TABLET ,WOCKHARDT ,Rabeprazole 20 MG,
PROTOLET 20MG TABLET ,EMPHASIS PHARMA PVT LTD ,Rabeprazole 20 MG,
OPTIPH 20MG CAPSULE ,FAIR DEAL FORMULATIONS ,Rabeprazole 20 MG,
RYBO 20MG TABLET ,BLUE CROSS ,Rabeprazole 20 MG,
RZOLIC 20MG TABLET ,GSL PHARMA ,Rabeprazole 20 MG,
RZOLE 20MG TABLET ,ABBOTT ,Rabeprazole 20 MG,
R 20 20MG TABLET ,GNEXT LAB PVT LTD ,Rabeprazole 20 MG,
REGULAS 20MG TABLET ,PRIMUS REMEDIES PVT LTD ,Rabeprazole 20 MG,
REORAB 20MG TABLET ,OROCHEM ,Rabeprazole 20 MG,
REPEP 20MG TABLET ,PLUS INDIA ,Rabeprazole 20 MG,
REPRAL 20MG TABLET ,ELDER ,Rabeprazole 20 MG,
REPRAZ 20 TABLET ,MEDLEY ,Rabeprazole 20 MG,
REVERA 20MG TABLET ,OPTIMUS HEALTHCARE ,Rabeprazole 20 MG,
PYLOREX 20MG TABLET ,BSP PHARMACETICALS ,Rabeprazole 20 MG,
 PYLORAB 20MG TABLET ,IND SWIFT LIMITED ,Rabeprazole 20 MG,
P RAB 20MG TABLET ,PRAYAS PHARMA ,Rabeprazole 20 MG,
Q RAB 20MG TABLET ,PEGASUS FARMACO ,Rabeprazole 20 MG,
R-MAXX 20MG TABLET ,BIOMAXX LIFE SCIENCE ,Rabeprazole 20 MG,
R-PPI 20MG TABLET ,BLUE CROSS ,Rabeprazole 20 MG,
RAAP 20MG TABLET ,ELIS PHARMA ,Rabeprazole 20 MG,
RAAWIN 20MG TABLET ,SYSWIN PHARMA ,Rabeprazole 20 MG,
RAAZ 20MG TABLET ,EXCELLA ,Rabeprazole 20 MG,
RABANTO 20MG TABLET ,GLANTO PHARMA ,Rabeprazole 20 MG,
RABALKEM 20MG TABLET ,ALKEM LABORATORIES LTD ,Rabeprazole 20 MG,
RABAX 20MG TABLET ,ZEE LABORATORIES LTD ,Rabeprazole 20 MG,
RABAZIO 20MG TABLET ,AGIO ,Rabeprazole 20 MG,
RABAN 20MG TABLET ,DOWELL LIFE SCIENCE ,Rabeprazole 20 MG,
RABANGG 20MG TABLET ,ANGLO FRENCH DRUGS AND INDUSTRIES LTD ,Rabeprazole 20 MG,
RABBIFOR 20MG TABLET ,UHC LIFESCIENCES ,Rabeprazole 20 MG,
RABBI 20MG TABLET ,UNIROYAL BIOTECH ,Rabeprazole 20 MG,
RABBY 20MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABCITA 20MG TABLET ,MEZZONE REMEDIES PVT LTD ,Rabeprazole 20 MG,
RABCAID 20MG TABLET ,DELWIS HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABCAP 20MG TABLET ,PHARMA DRUGS AND CHEMICALS ,Rabeprazole 20 MG,
 RABELOC 20MG TABLET ,CADILA PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABEMAC 20MG TABLET ,MACLEODS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABERA 20MG TABLET ,JENBURKT PHARMA ,Rabeprazole 20 MG,
RABEZ 20MG TABLET ,GENIX PHARMA ,Rabeprazole 20 MG,
RABEE 20MG TABLET ,RPG LIFESCIENCES LTD ,Rabeprazole 20 MG,
RABEST 20MG TABLET ,EMCEE PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEKIND 20MG TABLET ,MANKIND ,Rabeprazole 20 MG,
RABESTIME 20MG TABLET ,CARE BENZORGANICS ,Rabeprazole 20 MG,
RABEZOL 20MG TABLET ,ARISTO ,Rabeprazole 20 MG,
RABEKIND FAST 20MG TABLET ,MANKIND ,Rabeprazole 20 MG,
RABEPHEX 20MG TABLET ,MOLEKULE ,Rabeprazole 20 MG,
RABEMAX 20MG TABLET ,MARK INDIA COSMED PVT LTD ,Rabeprazole 20 MG,
RABELACE TABLET ,SOLACE PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEDON TABLET ,CRESCENT ,Rabeprazole 20 MG,
RABET 20MG TABLET ,MADHAV BIOTECH ,Rabeprazole 20 MG,
RABEWUN 20MG TABLET ,WUNDERZ ,Rabeprazole 20 MG,
RABEMON TABLET ,ERIS LIFE SCIENCES ,Rabeprazole 20 MG,
RABELOC FAST 20MG TABLET ,CADILA PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABELIN 20MG TABLET ,GENASIA BIOTECH ,Rabeprazole 20 MG,
RABERITE 20MG TABLET ,MHS PHARMACEUTICALS ,Rabeprazole 20 MG,
 RABEFINE FAST 20MG TABLET ,GLENMARK PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABETONE 20MG TABLET ,CASSEL PHARMA ,Rabeprazole 20 MG,
RABEROM 20MG TABLET ,ROMAN HEALTH CARE ,Rabeprazole 20 MG,
RABESOLE 20MG TABLET ,TROST ,Rabeprazole 20 MG,
RABENAT 20MG TABLET ,NATCO ,Rabeprazole 20 MG,
RABEDAY TABLET ,SANAT ,Rabeprazole 20 MG,
RABERITE TABLET ,MHS PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEDAL TABLET ,PHARMED PHARMA ,Rabeprazole 20 MG,
RABESCOT 20MG TABLET ,SCOTT EDIL ,Rabeprazole 20 MG,
RABEL 20MG TABLET ,LANCER BIOMED ,Rabeprazole 20 MG,
RABECHECK 20 TABLET ,Q CHECK PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEHOPE 20 TABLET ,HOPE PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEPRIZ 20MG TABLET ,GENERAL ,Rabeprazole 20 MG,
RABEJOY TABLET ,WE CARE ,Rabeprazole 20 MG,
RABEQUEEN CAPSULE ,QUEEN PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEPACE 20MG TABLET ,ELINOR PHARMA ,Rabeprazole 20 MG,
RABERU TABLET ,ROOTS LIFE SCIENCES ,Rabeprazole 20 MG,
RABESEC 20MG TABLET ,CIPLA ,Rabeprazole 20 MG,
RABEZOX 20MG TABLET ,LLOYD HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABEO 20MG TABLET ,STRIVEO HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
 RABEGON 20MG TABLET ,PANM LABS ,Rabeprazole 20 MG,
RABESPAN 20MG TABLET ,PHARMA REMEDIES ,Rabeprazole 20 MG,
RABESIF 20MG TABLET ,SIFCO PHARMA ,Rabeprazole 20 MG,
RABEXO 20MG TABLET ,ZOTA HEALTH CARE LTD ,Rabeprazole 20 MG,
RABENEST 20MG TABLET ,NEST PHARMA ,Rabeprazole 20 MG,
RABEGARD 20MG TABLET ,MANKIND ,Rabeprazole 20 MG,
RABEGLOW 20MG TABLET ,SUNGLOW PHARMA ,Rabeprazole 20 MG,
RABEPRAL 20MG TABLET ,ZENBIO LIFESCIENCES ,Rabeprazole 20 MG,
RABEZYME 20MG TABLET ,TAG HEALTHCARE ,Rabeprazole 20 MG,
RABEGRA 20MG TABLET ,LIFE LINE ,Rabeprazole 20 MG,
RABENE 20MG TABLET ,SERENE LIFESCIENCE ,Rabeprazole 20 MG,
RABESTA 20MG TABLET ,STALLION LABORATORIES ,Rabeprazole 20 MG,
RABECHILL 20MG TABLET ,STANFORD ORGANICS ,Rabeprazole 20 MG,
RABEPILL 20MG TABLET ,PRESCRIPTO LIFE SCIENCE ,Rabeprazole 20 MG,
RABERACE 20MG TABLET ,RACE PHARMA ,Rabeprazole 20 MG,
RABEN 20MG TABLET ,UNISWEN MEDISCIENCES ,Rabeprazole 20 MG,
RABEPRIDE 20MG TABLET ,KINESIS ,Rabeprazole 20 MG,
RABETEX 20MG TABLET ,HEALTHYWAYS PHARMA ,Rabeprazole 20 MG,
RABEPEP 20MG TABLET ,INNOVATIVE PHARMA ,Rabeprazole 20 MG,
RABEMED 20MG TABLET ,UNICHEM ,Rabeprazole 20 MG,
 RABED 20MG TABLET ,JASCO LABS PVT LTD ,Rabeprazole 20 MG,
RABEFORD 20MG TABLET ,MC FORDS PHARMA ,Rabeprazole 20 MG,
RABEVIB 20MG TABLET ,VIBCARE PHARMA ,Rabeprazole 20 MG,
RABECON 20MG TABLET ,MEDICROSS LIFE SCIENCES ,Rabeprazole 20 MG,
RABESHINE 20MG TABLET ,AFFINITY ,Rabeprazole 20 MG,
RABERIC 20MG TABLET ,DR MONI PHARMA ,Rabeprazole 20 MG,
RABEGEN 20MG TABLET ,OREGON HEALTHCARE ,Rabeprazole 20 MG,
RABEBLES 20MG TABLET ,UVB HEALTHCARE ,Rabeprazole 20 MG,
RABEMERZ 20MG TABLET ,VERNA HEALTHCARE ,Rabeprazole 20 MG,
RABEOZ 20MG TABLET ,PHARMANOVA SPECIALTIES ,Rabeprazole 20 MG,
RABENA 20MG TABLET ,GM PLUS PHARMA ,Rabeprazole 20 MG,
RABESTAR 20MG TABLET ,TRIGENESIS LIFESCIENCES ,Rabeprazole 20 MG,
RABEVIZOL 20MG TABLET ,SOLVIS PHARMA ,Rabeprazole 20 MG,
RABEFIT 20MG TABLET ,MARC LABORATORIES PVT LTD ,Rabeprazole 20 MG,
RABEC 20MG TABLET ,INTEL PHARMA ,Rabeprazole 20 MG,
RABERON 20MG TABLET ,CHARON LIFE SCIENCES ,Rabeprazole 20 MG,
RABECID 20MG TABLET ,HIGHNOON LABS ,Rabeprazole 20 MG,
RABEASY TABLET ,XYRIS LIFE SCINCES PVT LTD ,Rabeprazole 20 MG,
RABEPROM 20MG TABLET ,AICOM BIOMEDICS ,Rabeprazole 20 MG,
RABETAL 20MG TABLET ,ZEDAWN LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
 RABEPRACE 20MG TABLET ,ACE REMEDIES PVT LTD ,Rabeprazole 20 MG,
RABEPOL 20MG TABLET ,POLARIS HEALTH CARE ,Rabeprazole 20 MG,
RABELON 20MG TABLET ,ABBOTT ,Rabeprazole 20 MG,
RABECOOL 20MG TABLET ,STAUNCH PHARMA ,Rabeprazole 20 MG,
RABEP 20MG TABLET ,ACTIVE HEALTHCARE ,Rabeprazole 20 MG,
RABETOP 20MG TABLET ,PSYCHOTROPICS INDIA LTD ,Rabeprazole 20 MG,
RABETUS 20MG TABLET ,TUSKER PHARMA ,Rabeprazole 20 MG,
RABECIA 20MG TABLET ,GENECIA HEALTHCARE ,Rabeprazole 20 MG,
RABENIS 20MG TABLET ,KNISS LAB ,Rabeprazole 20 MG,
RABELAM 20MG TABLET ,AMARNATH PHARMA ,Rabeprazole 20 MG,
RABECAP 20MG CAPSULE ,SANIFY HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABECOM 20MG TABLET ,COMMON WEALTH ,Rabeprazole 20 MG,
RABECO 20MG TABLET ,RECO DURGS ,Rabeprazole 20 MG,
RABERICH 20MG TABLET ,MOTIMA HEALTHCARE ,Rabeprazole 20 MG,
RABENES 20MG TABLET ,FITWEL PHARMA ,Rabeprazole 20 MG,
RABEXID 20MG TABLET ,MANEESH PHARMACEUTICALS ,Rabeprazole 20 MG,
RABEMOL 20MG TABLET ,MANEESH PHARMACEUTICALS ,Rabeprazole 20 MG,
RABETAC 20MG TABLET ,MAPRA LABS ,Rabeprazole 20 MG,
RABE 20MG TABLET ,MEDIAL PHARMA ,Rabeprazole 20 MG,
RABEEZ 20MG TABLET ,NIMBUS HEALTH CARE ,Rabeprazole 20 MG,
 RABEVON 20MG TABLET ,BIOZEN PHARMA ,Rabeprazole 20 MG,
RABEVIVE 20MG TABLET ,MILLIGRAM LABORATORIES ,Rabeprazole 20 MG,
RABELEX 20MG TABLET ,SHINCE PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
RABFAB 20MG TABLET ,CIAN HEALTH CARE ,Rabeprazole 20 MG,
RABGIZE 20MG TABLET ,ENERGIZE ,Rabeprazole 20 MG,
RABGY 20MG TABLET ,INDU DRUGS ,Rabeprazole 20 MG,
RABICIP 20MG TABLET ,CIPLA ,Rabeprazole 20 MG,
RABIUM 20MG TABLET ,INTAS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABITOP 20MG TABLET ,ARISTO ,Rabeprazole 20 MG,
RABIFAST 20MG TABLET ,ZUVENTUS HEALTHCARE LTD ,Rabeprazole 20 MG,
RABIROS 20MG TABLET ,MICRO LABS LIMITED ,Rabeprazole 20 MG,
RABIPLUS CAPSULE ,WAN BURRY ,Rabeprazole 20 MG,
RABICENT 20MG TABLET ,CRESCENT ,Rabeprazole 20 MG,
RABIMAX 20MG TABLET ,TIDAL LAB ,Rabeprazole 20 MG,
RABIFIX 20MG TABLET ,BAL PHARMA ,Rabeprazole 20 MG,
RABIMED TABLET ,MEDLEY ,Rabeprazole 20 MG,
RABICOOL 20MG TABLET ,CASSEL PHARMA ,Rabeprazole 20 MG,
RABICIP FAST TABLET ,CIPLA ,Rabeprazole 20 MG,
RABINIX 20MG TABLET ,PHOENIX PHARMA ,Rabeprazole 20 MG,
RABICER 20MG TABLET ,BIOCHEM ,Rabeprazole 20 MG,
 RABIWOK 20MG TABLET ,WOCKHARDT ,Rabeprazole 20 MG,
RABIZOL 20MG TABLET ,MEDI BIOTECH PVT LTD ,Rabeprazole 20 MG,
RABIGILE 20MG TABLET ,UNICHEM ,Rabeprazole 20 MG,
RABIN 20MG TABLET ,INVISION MEDISCIENCE ,Rabeprazole 20 MG,
RABITAB 20MG TABLET ,RHINE BIOGENICS ,Rabeprazole 20 MG,
RABIDOC 20MG TABLET ,MOREPEN LABORATORIES LTD ,Rabeprazole 20 MG,
RABIUM XL TABLET ,INTAS PHARMACEUTICALS LTD ,Rabeprazole 20 MG,
RABIFER 20MG TABLET ,BIOPHAR LIFESCIENCES ,Rabeprazole 20 MG,
RABISAFE 20MG TABLET ,LAKSHYA PHARMA ,Rabeprazole 20 MG,
RABILAST 20MG CAPSULE ,ZERICO LIFESCIENCES ,Rabeprazole 20 MG,
RABIPOT 20MG TABLET ,AKESISS PHARMA PVT LTD ,Rabeprazole 20 MG,
RABIBIT 20MG TABLET ,CUBIT HEALTHCARE ,Rabeprazole 20 MG,
RABIPP 20MG TABLET ,LEADS PHARMA ,Rabeprazole 20 MG,
RABIDOL 20MG TABLET ,SYSTEMIC HEALTHCARE ,Rabeprazole 20 MG,
RABIRUT 20MG TABLET ,TRUMAC HEALTHCARE ,Rabeprazole 20 MG,
RABIVAL 20MG TABLET ,MEDDOX FORMULATIONS ,Rabeprazole 20 MG,
RABIVEL 20MG TABLET ,BIOCELL PHARMA ,Rabeprazole 20 MG,
RABIMOR 20MG TABLET ,AAMORB PHARMACEUTICALS PVT LTD ,Rabeprazole 20 MG,
RABICAN 20MG TABLET ,CANDOR BIOTECH LIMITED ,Rabeprazole 20 MG,
RABIKAY 20MG TABLET ,KALWIN BIOMEDICA ,Rabeprazole 20 MG,
 RABIVA 20MG TABLET ,IVA HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABIZENA 20MG TABLET ,ELDER ,Rabeprazole 20 MG,
RABIPEN 20MG TABLET ,MOREPEN LABORATORIES LTD ,Rabeprazole 20 MG,
RABIPRIDE 20MG TABLET ,KARDIAN PHARMA ,Rabeprazole 20 MG,
RABIX 20MG TABLET ,ZYTRAS LIFE SCIENCES ,Rabeprazole 20 MG,
RABIREZ 20MG TABLET ,EVERYDAY NUTRIENTS ,Rabeprazole 20 MG,
RABICON 20MG TABLET ,ECON HEALTHCARE ,Rabeprazole 20 MG,
RABIZET 20MG TABLET ,MERLION LIFE SCIENCE ,Rabeprazole 20 MG,
RABICORD 20MG TABLET ,CORDIAL LIFESCIENCES ,Rabeprazole 20 MG,
RABIHART 20MG TABLET ,ORRIS PHARMA ,Rabeprazole 20 MG,
RABICHEK 20MG TABLET ,MEDIVISION PHARMACO ,Rabeprazole 20 MG,
RABILOVE 20MG TABLET ,APRICA PHARMA ,Rabeprazole 20 MG,
RABIDIK 20MG TABLET ,TERRACE PHARMA ,Rabeprazole 20 MG,
RABIVOR 20MG TABLET ,VASU ORGANICS ,Rabeprazole 20 MG,
RABI 20MG TABLET ,ZEN PHARMA ,Rabeprazole 20 MG,
RABINOM 20MG TABLET ,ACTO PHARMA ,Rabeprazole 20 MG,
RABICYP 20MG TABLET ,CYPTUS HEALTHCARE PVT LTD ,Rabeprazole 20 MG,
RABITROL 20MG TABLET ,ASARVA LIFESCIENCES PVT LTD ,Rabeprazole 20 MG,
RABICURE 20MG TABLET ,HAMPS BIO PVT LTD ,Rabeprazole 20 MG,
RABITOR 20MG TABLET ,SYNERGY PHARMACEUTICALS ,Rabeprazole 20 MG,
 RABICARE 20MG TABLET ,MEDICO HEALTHCARE ,Rabeprazole 20 MG,
RABITEC 20MG TABLET ,CIPLA ,Rabeprazole 20 MG,
RABINTA 20MG TABLET ,INTRA LIFE ,Rabeprazole 20 MG,
RABIGEN 20MG TABLET ,NEWGEN PHARMA ,Rabeprazole 20 MG,
RABIDON 20MG TABLET ,OSCAR REMEDIES ,Rabeprazole 20 MG,
